LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 27401.0, 338688, 1.0, 27315.0, 84672, 26.0, 27441.0, 426496, -5525.0, 19982.0, 151721, -111.0, -1.0, 864, 3758.0, 27649.0, 401535,
1, 1.0, 51303.0, 3484800, 1.0, 51236.0, 27360, 287.0, 51362.0, 36420, -5525.0, 45262.0, 437886, -111.0, -1.0, 288, 51489.0, 51583.0, 12100,
2, 1.0, 27901.0, 401408, 1.0, 27837.0, 200704, 31.0, 27963.0, 827904, -5525.0, 26954.0, 401408, -221.0, -1.0, 2048, 1874.0, 28251.0, 802943,
3, 1.0, 20502.0, 1806336, 1.0, 20496.0, 14400, 575.0, 20622.0, 9536, -5525.0, 19635.0, 1015554, -111.0, -1.0, 576, 20749.0, 20773.0, 3136,
4, 1.0, 7759.0, 200704, 1.0, 7823.0, 204800, 63.0, 7949.0, 407808, -5525.0, 6422.0, 200704, -884.0, -1.0, 8192, 1127.0, 8061.0, 401535,
5, 1.0, 32183.0, 3359232, 1.0, 32084.0, 26496, 1151.0, 32210.0, 8804, -5525.0, 31490.0, 517428, -221.0, -1.0, 1152, 32337.0, 32359.0, 2916,
6, 1.0, 9359.0, 401408, 1.0, 9423.0, 409600, 127.0, 9549.0, 407808, -5525.0, 8928.0, 401408, -1658.0, -1.0, 16384, 1383.0, 9661.0, 401535,
7, 1.0, 9218.0, 903168, 1.0, 9588.0, 8064, 1151.0, 9714.0, 2576, -5525.0, 8051.0, 688670, -221.0, -1.0, 1152, 9841.0, 9847.0, 784,
8, 1.0, 5109.0, 200704, 1.0, 5221.0, 229376, 127.0, 5347.0, 204288, -5525.0, 4059.0, 200704, -3315.0, -1.0, 32768, 1383.0, 5619.0, 200831,
9, 1.0, 15129.0, 1557504, 1.0, 15094.0, 13824, 2303.0, 15220.0, 2212, -5525.0, 14458.0, 286236, -332.0, -1.0, 2304, 15347.0, 15352.0, 676,
10, 1.0, 6901.0, 401408, 1.0, 7013.0, 458752, 255.0, 7139.0, 204288, -5525.0, 6357.0, 401408, -5525.0, 3810.0, 88018, 1895.0, 7411.0, 200831,
