LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 26048.0, 338688, 1.0, 25834.0, 42336, 26.0, 26088.0, 426496, -5525.0, 18954.0, 151721, -111.0, -1.0, 864, 3455.0, 26368.0, 401663,
1, 1.0, 37861.0, 3484800, 1.0, 37794.0, 13824, 287.0, 38048.0, 36676, -5525.0, 33122.0, 437886, -111.0, -1.0, 288, 38303.0, 38350.0, 12100,
2, 1.0, 26303.0, 401408, 1.0, 26111.0, 100352, 31.0, 26365.0, 827904, -5525.0, 25544.0, 401408, -221.0, -1.0, 2048, 1784.0, 26669.0, 803071,
3, 1.0, 13614.0, 1806336, 1.0, 13608.0, 7488, 575.0, 13862.0, 9792, -5525.0, 13163.0, 1284794, -111.0, -1.0, 576, 14117.0, 14129.0, 3136,
4, 1.0, 7015.0, 200704, 1.0, 7079.0, 106496, 63.0, 7333.0, 408064, -5525.0, 5802.0, 200704, -884.0, -1.0, 8192, 876.0, 7517.0, 401663,
5, 1.0, 19533.0, 3359232, 1.0, 19434.0, 13824, 1151.0, 19688.0, 9060, -5525.0, 19144.0, 620920, -221.0, -1.0, 1152, 19943.0, 19954.0, 2916,
6, 1.0, 7847.0, 401408, 1.0, 7911.0, 212992, 127.0, 8165.0, 408064, -5525.0, 7288.0, 401408, -1658.0, -1.0, 16384, 1004.0, 8349.0, 401663,
7, 1.0, 5768.0, 903168, 1.0, 6138.0, 4608, 1151.0, 6392.0, 2832, -5525.0, 4504.0, 856120, -221.0, -1.0, 1152, 6647.0, 6650.0, 784,
8, 1.0, 2057.0, 100352, 1.0, 2297.0, 131072, 127.0, 2551.0, 202752, -5525.0, 878.0, 100352, -3315.0, -1.0, 32768, 495.0, 2687.0, 200959,
9, 1.0, 8095.0, 1557504, 1.0, 7932.0, 6912, 2303.0, 8186.0, 2212, -5525.0, 7419.0, 1259721, -332.0, -1.0, 2304, 8441.0, 8443.0, 676,
10, 1.0, 2569.0, 200704, 1.0, 2809.0, 262144, 255.0, 3063.0, 202752, -5525.0, 1796.0, 200704, -5525.0, 2519.0, 262144, 623.0, 3199.0, 200959,
11, 1.0, 2484.0, 451584, 1.0, 2304.0, 2304, 2363.0, 2558.0, 708, -5525.0, 2139.0, 430336, -332.0, -1.0, 2304, 2813.0, 2813.0, 196,
12, 1.0, 1217.0, 100352, 1.0, 1277.0, 131072, 315.0, 1531.0, 101376, -5083.0, -1.0, 50176, -5525.0, 1075.0, 131072, 1181.0, 1707.0, 100607,
13, 1.0, 4751.0, 663552, 1.0, 4608.0, 4608, 4719.0, 4862.0, 656, -5525.0, 4719.0, 663552, -553.0, -1.0, 4608, 5117.0, 5117.0, 144,
14, 1.0, 1729.0, 200704, 1.0, 1789.0, 262144, 571.0, 2043.0, 101376, -5525.0, 1454.0, 200704, -5525.0, 1501.0, 262144, 1693.0, 2219.0, 100607,
15, 1.0, 4751.0, 663552, 1.0, 4608.0, 4608, 4719.0, 4862.0, 656, -5525.0, 4719.0, 663552, -553.0, -1.0, 4608, 5117.0, 5117.0, 144,
16, 1.0, 1729.0, 200704, 1.0, 1789.0, 262144, 571.0, 2043.0, 101376, -5525.0, 1454.0, 200704, -5525.0, 1501.0, 262144, 1693.0, 2219.0, 100607,
