LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 85312.0, 924075, 65.0, 85576.0, 463200, 127.0, 85660.0, 1056, -5525.0, 60393.0, 155644, -332.0, -1.0, 2400, 6121.0, 85916.0, 788607,
1, 1.0, 454262.0, 9331200, 65.0, 454294.0, 146400, 127.0, 454340.0, 16, -5525.0, 446373.0, 516450, -111.0, -1.0, 800, 165151.0, 455030.0, 151695,
2, 33.0, 49594.0, 401408, 65.0, 49689.0, 401408, 127.0, 49783.0, 4096, -5493.0, 47811.0, 401408, -221.0, -1.0, 2048, 3492.0, 50231.0, 802879,
3, 1.0, 228118.0, 4840000, 65.0, 229137.0, 76800, 127.0, 229152.0, 17, -5525.0, 220617.0, 1133392, -221.0, -1.0, 1600, 165151.0, 229517.0, 75688,
4, 1.0, 15328.0, 200704, 65.0, 15519.0, 401408, 127.0, 15581.0, 8192, -5525.0, 12750.0, 200704, -884.0, -1.0, 8192, 2162.0, 15805.0, 401471,
5, 1.0, 410523.0, 8652800, 65.0, 410587.0, 137600, 127.0, 410601.0, 16, -5525.0, 400950.0, 787220, -332.0, -1.0, 3200, 165151.0, 411034.0, 135263,
6, 1.0, 30910.0, 401408, 65.0, 31101.0, 802816, 127.0, 31163.0, 8192, -5525.0, 29919.0, 401408, -1658.0, -1.0, 16384, 2162.0, 31611.0, 802879,
7, 1.0, 112563.0, 2332800, 65.0, 114537.0, 38400, 127.0, 114560.0, 25, -5525.0, 103543.0, 637255, -332.0, -1.0, 3200, 114599.0, 115168.0, 36450,
8, 1.0, 11214.0, 100352, 65.0, 11533.0, 425984, 127.0, 11547.0, 4096, -5525.0, 5830.0, 100352, -3315.0, -1.0, 32768, 1592.0, 11819.0, 401471,
9, 1.0, 171773.0, 3686400, 65.0, 171837.0, 57600, 127.0, 171899.0, 64, -5525.0, 145388.0, 269128, -663.0, -1.0, 6400, 165151.0, 171935.0, 57663,
10, 1.0, 22810.0, 200704, 65.0, 23129.0, 851968, 127.0, 23143.0, 4096, -5525.0, 17870.0, 200704, -5461.0, 22545.0, 851968, 1592.0, 23639.0, 802879,
11, 1.0, 57173.0, 1081600, 65.0, 57237.0, 19200, 127.0, 57276.0, 41, -5525.0, 42834.0, 549886, -663.0, -1.0, 6400, 57299.0, 57563.0, 16900,
12, 1.0, 10594.0, 50176, 65.0, 11169.0, 524288, 127.0, 11171.0, 2048, -5083.0, -1.0, 50176, -5461.0, 10716.0, 524288, 1212.0, 11455.0, 401471,
