LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 153761, 0, 48.948693101631754, 88.83223567735492, 48.94837476099165,
1, 312789, 0, 7.736844965775651, 8.32782733179161, 7.73682023082585,
2, 338903, 0, 52.64148017443208, 88.83223567735492, 52.64132484584682,
3, 156675, 0, 8.006382639221318, 8.312128922815932, 8.006331537695663,
4, 247851, 0, 71.98016370946881, 96.72295473822055, 71.97987329356066,
5, 285281, 0, 8.17720072489931, 8.333333333333325, 8.177172061328761,
6, 432299, 0, 82.53711230215917, 96.72295473822055, 82.53692137661449,
7, 77483, 0, 8.094678832776221, 8.249158249158246, 8.094574363739614,
8, 217799, 0, 81.91201775745323, 95.99020508111381, 81.91164166921769,
9, 132581, 0, 8.15803169383245, 8.235867446393764, 8.157970161862089,
10, 403655, 0, 88.39407690010309, 95.99020508111381, 88.39385791642374,
11, 39541, 0, 7.9310083204774795, 8.006535947712417, 7.9308077487228745,
12, 203217, 0, 87.7896807627096, 95.33363733090128, 87.78924876514608,
13, 55559, 0, 8.293885779081696, 8.333333333333332, 8.293736501079914,
14, 390353, 0, 91.40626845729663, 95.33363733090128, 91.40603429479577,
15, 55559, 0, 8.293885779081696, 8.333333333333332, 8.293736501079914,
16, 390353, 0, 91.40626845729663, 95.33363733090128, 91.40603429479577,
17, 55559, 0, 8.293885779081696, 8.333333333333332, 8.293736501079914,
18, 390353, 0, 91.40626845729663, 95.33363733090128, 91.40603429479577,
19, 55559, 0, 8.293885779081696, 8.333333333333332, 8.293736501079914,
20, 390353, 0, 91.40626845729663, 95.33363733090128, 91.40603429479577,
21, 55559, 0, 8.293885779081696, 8.333333333333332, 8.293736501079914,
22, 390353, 0, 91.40626845729663, 95.33363733090128, 91.40603429479577,
23, 23149, 0, 6.773510734804959, 6.805555555555555, 6.773218142548595,
24, 229619, 0, 77.6954675159963, 81.03359173126607, 77.6951291505774,
25, 9237, 0, 6.235790841182202, 6.25, 6.23511582593635,
26, 449779, 0, 79.32942869967498, 81.03359173126607, 79.32925232582807,
