LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 31912, 0, 5.655659264148283, 24.808714561855673, 5.655482042976206,
1, 96967, 0, 0.5873454371074696, 0.773819633152174, 0.5873393800016499,
2, 28027, 0, 5.5946052021265205, 50.0, 5.594405594405589,
3, 44495, 0, 0.6639176452410384, 0.7692972819010417, 0.6639027244021936,
4, 7949, 0, 19.725751666876338, 98.0, 19.72327044025157,
5, 75987, 0, 0.6950202008238251, 0.7501775568181818, 0.6950110543770067,
6, 9549, 0, 32.84113519740287, 98.0, 32.83769633507855,
7, 20723, 0, 0.6870762558509869, 0.7415771484375, 0.6870431022003475,
8, 5347, 0, 29.324855058911538, 87.5, 29.319371727748685,
9, 33269, 0, 0.6763052691694972, 0.703125, 0.6762849413886385,
10, 7139, 0, 43.92772096932343, 87.5, 43.921568627450974,
11, 13307, 0, 0.49609697903359135, 0.5157470703125, 0.4960597009317703,
12, 4079, 0, 38.440794312331455, 76.5625, 38.431372549019606,
13, 13053, 0, 0.5985214127020608, 0.6103515625, 0.5984755630458096,
14, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
15, 13053, 0, 0.5985214127020608, 0.6103515625, 0.5984755630458096,
16, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
17, 13053, 0, 0.5985214127020608, 0.6103515625, 0.5984755630458096,
18, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
19, 13053, 0, 0.5985214127020608, 0.6103515625, 0.5984755630458096,
20, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
21, 13053, 0, 0.5985214127020608, 0.6103515625, 0.5984755630458096,
22, 6127, 0, 51.18328708992982, 76.5625, 51.174934725848566,
23, 13053, 0, 0.2154677085727419, 0.2197265625, 0.2154512026964915,
24, 6127, 0, 25.59164354496491, 38.28125, 25.587467362924283,
25, 25853, 0, 0.02417514408385874, 0.0244140625, 0.02417420901988087,
26, 10223, 0, 30.675926831654113, 38.28125, 30.672926447574334,
