LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 44.6472050001255, 11.335224277717813, 0.10923968975124877, 5.012550998162509, 9.455276381909547, 21.10029144989513,
1, 56.213929515713374, 14.805314769570602, 0.21419726229124134, 8.276306276700625, 9.812084109661964, 20.916651107210875,
2, 56.213929515713374, 14.805314769570602, 0.21419726229124134, 8.276306276700625, 9.812084109661964, 20.916651107210875,
3, 56.213929515713374, 14.805314769570602, 0.21419726229124134, 8.276306276700625, 9.812084109661964, 20.916651107210875,
4, 56.213929515713374, 14.805314769570602, 0.21419726229124134, 8.276306276700625, 9.812084109661964, 20.916651107210875,
5, 42.09788384450452, 27.49249557192132, 0.1909201081383425, 25.52063359733222, 20.05658324265506, 32.82254901960784,
6, 58.07681408009546, 32.99037959579387, 1.5655156984115146, 9.633856917484053, 24.211482677467025, 36.243720696584056,
7, 15.055664335664336, 9.165874125874126, 2.6137062937062936, 9.87133582530002, 9.266968325791856, 50.492746841366404,
8, 58.07681408009546, 32.99037959579387, 1.5655156984115146, 9.633856917484053, 24.211482677467025, 36.243720696584056,
9, 58.07681408009546, 32.99037959579387, 1.5655156984115146, 9.633856917484053, 24.211482677467025, 36.243720696584056,
10, 44.19495008807986, 57.724016441573696, 9.821100019573302, 21.372925664923848, 30.129955046996322, 69.89563039242972,
11, 36.07437207785147, 64.1322170272915, 4.008263564205719, 9.87133582530002, 42.3116212338594, 43.22194740952877,
12, 28.207639569049952, 32.09402546523017, 56.415279138099905, 9.869394177812746, 9.88476621417798, 535.6944444444445,
13, 36.07437207785147, 64.1322170272915, 4.008263564205719, 9.87133582530002, 42.3116212338594, 43.22194740952877,
14, 36.07437207785147, 64.1322170272915, 4.008263564205719, 9.87133582530002, 42.3116212338594, 43.22194740952877,
15, 9.816189896530737, 102.56916789844361, 2.181375532562386, 9.87133582530002, 72.27792414680474, 27.15279279279279,
16, 5.008042429248359, 102.5647089510064, 0.5564491588053733, 9.869394177812746, 85.0503244412401, 13.377508409697251,
17, 12.830070477682067, 102.64056382145654, 25.660140955364135, 9.460030165912519, 21.518962403546215, 256.0,
18, 5.008042429248359, 102.5647089510064, 0.5564491588053733, 9.869394177812746, 85.0503244412401, 13.377508409697251,
19, 5.008042429248359, 102.5647089510064, 0.5564491588053733, 9.869394177812746, 85.0503244412401, 13.377508409697251,
20, 0.1450014160294534, 145.00141602945342, 0.2832058906825262, 4.612612612612613, 61.12702960840497, 250.0,
