LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 123669, 0, 93.40204497489266, 93.75, 93.28814004199644,
1, 585499, 0, 6.225458967479022, 6.25, 6.217484008528784,
2, 100719, 0, 99.63561989296954, 100.0, 99.51606505355015,
3, 307099, 0, 6.156402332798218, 6.25, 6.126458198314982,
4, 101823, 0, 98.5553362206967, 100.0, 98.09196121363783,
5, 549999, 0, 6.14546571902858, 6.25, 6.112115732368882,
6, 203647, 0, 98.55485226887703, 100.0, 98.09196121363769,
7, 154999, 0, 5.879070187549597, 6.25, 5.767405063291153,
8, 106239, 0, 94.45872043223298, 100.0, 92.78106508875759,
9, 248799, 0, 5.787804613362594, 6.25, 5.65149136577713,
10, 212479, 0, 94.45827587667488, 100.0, 92.78106508875777,
11, 85999, 0, 4.912847823811905, 6.25, 4.592391304347782,
12, 123903, 0, 80.99238920768666, 100.0, 76.26459143968943,
13, 116799, 0, 4.2808585689945975, 6.25, 3.8819875776397352,
14, 247807, 0, 80.99206237111946, 100.0, 76.26459143968964,
15, 116799, 0, 4.2808585689945975, 6.25, 3.8819875776397352,
16, 247807, 0, 80.99206237111946, 100.0, 76.26459143968964,
17, 116799, 0, 4.2808585689945975, 6.25, 3.8819875776397352,
18, 247807, 0, 80.99206237111946, 100.0, 76.26459143968964,
19, 116799, 0, 4.2808585689945975, 6.25, 3.8819875776397352,
20, 247807, 0, 80.99206237111946, 100.0, 76.26459143968964,
21, 116799, 0, 4.2808585689945975, 6.25, 3.8819875776397352,
22, 247807, 0, 80.99206237111946, 100.0, 76.26459143968964,
23, 65599, 0, 2.7439442674431014, 6.25, 2.319587628866022,
24, 194559, 0, 51.57921247539307, 100.0, 44.545454545456465,
25, 79999, 0, 0.5000062500781259, 6.25, 0.3846153846153833,
26, 389119, 0, 51.57907992156641, 100.0, 44.545454545457986,
