LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 89351.0, 677376, 1.0, 89361.0, 677376, 26.0, 89375.0, 451584, -5525.0, 81074.0, 304164, -111.0, -1.0, 864, 12338.0, 90271.0, 401423,
1, 1.0, 240699.0, 3484800, 1.0, 240696.0, 218016, 287.0, 240710.0, 36324, -5525.0, 236474.0, 455568, -111.0, -1.0, 288, 240725.0, 241481.0, 12100,
2, 1.0, 194417.0, 1605632, 1.0, 194417.0, 1605632, 31.0, 194431.0, 903168, -5525.0, 194019.0, 1605632, -221.0, -1.0, 2048, 13423.0, 196223.0, 802831,
3, 1.0, 118568.0, 1806336, 1.0, 118746.0, 112896, 575.0, 118760.0, 9408, -5525.0, 116195.0, 900384, -111.0, -1.0, 576, 118775.0, 118970.0, 3136,
4, 1.0, 147377.0, 1605632, 1.0, 147377.0, 1605632, 63.0, 147391.0, 451584, -5525.0, 147069.0, 1605632, -884.0, -1.0, 8192, 20367.0, 148287.0, 401423,
5, 1.0, 216279.0, 3359232, 1.0, 216276.0, 210816, 1151.0, 216290.0, 8772, -5525.0, 212370.0, 513866, -221.0, -1.0, 1152, 216305.0, 216487.0, 2916,
6, 1.0, 247729.0, 3211264, 1.0, 247729.0, 3211264, 127.0, 247743.0, 451584, -5525.0, 247209.0, 3211264, -1658.0, -1.0, 16384, 34255.0, 248639.0, 401423,
7, 1.0, 57518.0, 903168, 1.0, 57888.0, 56448, 1151.0, 57902.0, 2352, -5525.0, 57253.0, 445953, -221.0, -1.0, 1152, 57917.0, 57965.0, 784,
8, 1.0, 123857.0, 1605632, 1.0, 123857.0, 1605632, 127.0, 123871.0, 225792, -5525.0, 123609.0, 1605632, -3315.0, -1.0, 32768, 34255.0, 126047.0, 200719,
9, 1.0, 100335.0, 1557504, 1.0, 100332.0, 99072, 2303.0, 100346.0, 2052, -5525.0, 92631.0, 245576, -332.0, -1.0, 2304, 100361.0, 100403.0, 676,
10, 1.0, 224209.0, 3211264, 1.0, 224209.0, 3211264, 255.0, 224223.0, 225792, -5525.0, 223749.0, 3211264, -5525.0, 182315.0, 67538, 62031.0, 226399.0, 200719,
11, 1.0, 29546.0, 451584, 1.0, 30312.0, 29952, 2303.0, 30326.0, 612, -5525.0, 20599.0, 219497, -332.0, -1.0, 2304, 30341.0, 30353.0, 196,
12, 1.0, 118949.0, 1605632, 1.0, 118961.0, 1703936, 255.0, 118975.0, 113664, -5083.0, -1.0, 50176, -5525.0, 96801.0, 135076, 65483.0, 121791.0, 100367,
13, 1.0, 41727.0, 663552, 1.0, 41712.0, 41472, 4607.0, 41726.0, 432, -5525.0, 21593.0, 108561, -553.0, -1.0, 4608, 41741.0, 41749.0, 144,
14, 1.0, 225445.0, 3211264, 1.0, 225457.0, 3407872, 511.0, 225471.0, 113664, -5525.0, 224613.0, 3211264, -5525.0, 211769.0, 292634, 124107.0, 228287.0, 100367,
15, 1.0, 41727.0, 663552, 1.0, 41712.0, 41472, 4607.0, 41726.0, 432, -5525.0, 21593.0, 108561, -553.0, -1.0, 4608, 41741.0, 41749.0, 144,
16, 1.0, 225445.0, 3211264, 1.0, 225457.0, 3407872, 511.0, 225471.0, 113664, -5525.0, 224613.0, 3211264, -5525.0, 211769.0, 292634, 124107.0, 228287.0, 100367,
17, 1.0, 41727.0, 663552, 1.0, 41712.0, 41472, 4607.0, 41726.0, 432, -5525.0, 21593.0, 108561, -553.0, -1.0, 4608, 41741.0, 41749.0, 144,
18, 1.0, 225445.0, 3211264, 1.0, 225457.0, 3407872, 511.0, 225471.0, 113664, -5525.0, 224613.0, 3211264, -5525.0, 211769.0, 292634, 124107.0, 228287.0, 100367,
19, 1.0, 41727.0, 663552, 1.0, 41712.0, 41472, 4607.0, 41726.0, 432, -5525.0, 21593.0, 108561, -553.0, -1.0, 4608, 41741.0, 41749.0, 144,
20, 1.0, 225445.0, 3211264, 1.0, 225457.0, 3407872, 511.0, 225471.0, 113664, -5525.0, 224613.0, 3211264, -5525.0, 211769.0, 292634, 124107.0, 228287.0, 100367,
21, 1.0, 41727.0, 663552, 1.0, 41712.0, 41472, 4607.0, 41726.0, 432, -5525.0, 21593.0, 108561, -553.0, -1.0, 4608, 41741.0, 41749.0, 144,
22, 1.0, 225445.0, 3211264, 1.0, 225457.0, 3407872, 511.0, 225471.0, 113664, -5525.0, 224613.0, 3211264, -5525.0, 211769.0, 292634, 124107.0, 228287.0, 100367,
23, 1.0, 16474.0, 225792, 1.0, 18522.0, 18432, 4607.0, 18536.0, 177, -5525.0, 11681.0, 131028, -553.0, -1.0, 4608, 18551.0, 18554.0, 49,
24, 1.0, 138722.0, 1605632, 1.0, 138737.0, 2097152, 511.0, 138751.0, 58368, -2542.0, -1.0, 25088, -5525.0, 130469.0, 585268, 138751.0, 141886.0, 50176,
25, 1.0, 9224.0, 82944, 1.0, 9216.0, 9216, 9222.0, 9230.0, 41, -5083.0, -1.0, 50176, -995.0, -1.0, 9216, 9245.0, 9245.0, 9,
26, 1.0, 269794.0, 3211264, 1.0, 269809.0, 4194304, 1023.0, 269823.0, 58368, -5083.0, -1.0, 50176, -5525.0, 265997.0, 1176634, 269823.0, 272958.0, 50176,
