LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 29.173603195040144, 0.07715333076374253, 31.753581708887232, 9.1875, 9.455276381909547, 32.22020570173249,
1, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 9.8, 9.812084109661964, 31.14754751970329,
2, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 9.8, 9.812084109661964, 31.14754751970329,
3, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 9.8, 9.812084109661964, 31.14754751970329,
4, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 9.8, 9.812084109661964, 31.14754751970329,
5, 28.574483904136677, 1.1663054654749663, 28.574483904136677, 9.8, 1.4153692576452745, 28.960255875845704,
6, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 8.166666666666666, 1.6766652263889206, 28.457720487475104,
7, 28.786736194678433, 1.0953336007487633, 28.786736194678433, 6.125, 9.266968325791856, 30.62972972972973,
8, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 8.166666666666666, 1.6766652263889206, 28.457720487475104,
9, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 8.166666666666666, 1.6766652263889206, 28.457720487475104,
10, 21.627845160981334, 3.531076760976544, 21.627845160981334, 8.166666666666666, 3.529301947080576, 21.9982828750274,
11, 19.361485771809143, 4.302552393735366, 19.361485771809143, 6.125, 4.407394676669705, 19.53125528893206,
12, 22.572744195160183, 3.2103458410894485, 22.572744195160183, 6.125, 9.88476621417798, 28.689118525896415,
13, 19.361485771809143, 4.302552393735366, 19.361485771809143, 6.125, 4.407394676669705, 19.53125528893206,
14, 19.361485771809143, 4.302552393735366, 19.361485771809143, 6.125, 4.407394676669705, 19.53125528893206,
15, 10.965101526694388, 7.1608826296779675, 10.965101526694388, 6.125, 7.040699027735501, 11.234184536544106,
16, 6.722713595331449, 8.605073402024255, 6.722713595331449, 6.125, 8.57352171637886, 6.917347494042369,
17, 12.962666271077486, 6.481333135538743, 12.962666271077486, 3.0625, 5.835277357314576, 15.264919941775837,
18, 6.722713595331449, 8.605073402024255, 6.722713595331449, 6.125, 8.57352171637886, 6.917347494042369,
19, 6.722713595331449, 8.605073402024255, 6.722713595331449, 6.125, 8.57352171637886, 6.917347494042369,
20, 0.33684903061329385, 10.526532206665433, 0.3289541314582948, 0.125, 9.918444044090583, 32.0,
