LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 83976.0, 1778700, 129.0, 84504.0, 893760, 255.0, 84679.0, 4352, -5525.0, 58875.0, 157828, -995.0, -1.0, 9408, 3058.0, 84743.0, 1548927,
1, 1.0, 50972.0, 1679616, 129.0, 51099.0, 847872, 255.0, 51261.0, 6400, -5525.0, 50419.0, 227656, -3757.0, -1.0, 36864, 3058.0, 51667.0, 933247,
2, 1.0, 50972.0, 1679616, 129.0, 51099.0, 847872, 255.0, 51261.0, 6400, -5525.0, 50419.0, 227656, -3757.0, -1.0, 36864, 3058.0, 51667.0, 933247,
3, 1.0, 50972.0, 1679616, 129.0, 51099.0, 847872, 255.0, 51261.0, 6400, -5525.0, 50419.0, 227656, -3757.0, -1.0, 36864, 3058.0, 51667.0, 933247,
4, 1.0, 50972.0, 1679616, 129.0, 51099.0, 847872, 255.0, 51261.0, 6400, -5525.0, 50419.0, 227656, -3757.0, -1.0, 36864, 3058.0, 51667.0, 933247,
5, 1.0, 16448.0, 451584, 129.0, 17659.0, 516096, 255.0, 17737.0, 2048, -5525.0, 12803.0, 256380, -5397.0, 17065.0, 516096, 1895.0, 17881.0, 501887,
6, 1.0, 27158.0, 778752, 129.0, 27413.0, 884736, 255.0, 27447.0, 4608, -5525.0, 21512.0, 132916, -5397.0, 27376.0, 884736, 1895.0, 27575.0, 778879,
7, 65.0, 3188.0, 53824, 129.0, 3379.0, 57344, 255.0, 3514.0, 9344, -5083.0, -1.0, 50176, -884.0, -1.0, 8192, 1895.0, 3978.0, 107775,
8, 1.0, 27158.0, 778752, 129.0, 27413.0, 884736, 255.0, 27447.0, 4608, -5525.0, 21512.0, 132916, -5397.0, 27376.0, 884736, 1895.0, 27575.0, 778879,
9, 1.0, 27158.0, 778752, 129.0, 27413.0, 884736, 255.0, 27447.0, 4608, -5525.0, 21512.0, 132916, -5397.0, 27376.0, 884736, 1895.0, 27575.0, 778879,
10, 1.0, 10974.0, 225792, 129.0, 11357.0, 589824, 255.0, 11423.0, 17408, -5525.0, 4570.0, 161570, -5397.0, 10625.0, 589824, 1132.0, 11555.0, 451711,
11, 1.0, 22458.0, 331776, 129.0, 22841.0, 1179648, 255.0, 22855.0, 4096, -5083.0, -1.0, 50176, -5397.0, 22626.0, 1179648, 1132.0, 23399.0, 663679,
12, 1.0, 766.0, 28800, 129.0, 1149.0, 65536, 255.0, 1244.0, 24832, -2542.0, -1.0, 25088, -3315.0, -1.0, 32768, 1177.0, 1293.0, 57727,
13, 1.0, 22458.0, 331776, 129.0, 22841.0, 1179648, 255.0, 22855.0, 4096, -5083.0, -1.0, 50176, -5397.0, 22626.0, 1179648, 1132.0, 23399.0, 663679,
14, 1.0, 22458.0, 331776, 129.0, 22841.0, 1179648, 255.0, 22855.0, 4096, -5083.0, -1.0, 50176, -5397.0, 22626.0, 1179648, 1132.0, 23399.0, 663679,
15, 1.0, 15326.0, 112896, 129.0, 15965.0, 1179648, 255.0, 16012.0, 25088, -5083.0, -1.0, 50176, -5397.0, 15750.0, 1179648, 2171.0, 16163.0, 451711,
16, 1.0, 31418.0, 115200, 129.0, 32057.0, 2359296, 255.0, 32080.0, 12800, -2542.0, -1.0, 25088, -5397.0, 31691.0, 2359296, 4006.0, 32327.0, 460927,
17, 1.0, 1022.0, 16384, 129.0, 1661.0, 131072, 255.0, 1723.0, 32768, -1326.0, -1.0, 12544, -5397.0, 1437.0, 131072, 1532.0, 1867.0, 65663,
18, 1.0, 31418.0, 115200, 129.0, 32057.0, 2359296, 255.0, 32080.0, 12800, -2542.0, -1.0, 25088, -5397.0, 31691.0, 2359296, 4006.0, 32327.0, 460927,
19, 1.0, 31418.0, 115200, 129.0, 32057.0, 2359296, 255.0, 32080.0, 12800, -2542.0, -1.0, 25088, -5397.0, 31691.0, 2359296, 4006.0, 32327.0, 460927,
20, 1.0, 4274.0, 512, 129.0, 5401.0, 512000, 255.0, 5400.0, 1000, -111.0, -1.0, 512, -5397.0, 5223.0, 512000, 5527.0, 5558.0, 4000,
