LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 6.857281690996335, 6.857281690996335, 0.020732522119414468, 9.8, 7.783783783783784, 9.341656388895354,
1, 10.754095122884546, 0.3368431447581193, 1.2344002666304576e-05, 9.8, 2.5945945945945947, 0.6745037090242604,
2, 6.481117300395576, 12.962234600791152, 0.033066925002018244, 9.8, 9.266968325791856, 13.72317658923474,
3, 10.779011690008891, 0.33684411531277786, 0.00019095471389613257, 5.150063824355374, 5.1891891891891895, 16.64574123194813,
4, 4.612718622876973, 18.450874491507893, 0.0941371147525913, 9.8, 9.266968325791856, 19.40181246979217,
5, 10.676464138266395, 0.3368431758300783, 1.271298217957723e-05, 9.8, 5.212669683257919, 0.6909719023491478,
6, 4.6126656171357, 18.4506624685428, 0.04706801650138469, 9.8, 9.881785283474064, 19.101391862955033,
7, 10.563491970666323, 0.33684604498298226, 0.00018713669165721237, 9.8, 5.212669683257919, 32.0,
8, 2.8672819223406383, 23.406383039515415, 0.11703191519757708, 9.8, 9.88476621417798, 23.94699636103323,
9, 10.350308016400959, 0.33684434372902533, 2.6581782175585963e-05, 9.8, 6.9397590361445785, 32.0,
10, 2.867240960585151, 23.406048657837967, 0.05851512164459492, 9.8, 22.157907549160154, 23.71942860519396,
11, 9.431775935169908, 0.3368491405417824, 8.354393366611667e-05, 9.8, 6.9397590361445785, 32.0,
12, 1.4785914247826728, 27.03710033888316, 0.06035067039929277, 9.8, 24.050538677291673, 24.518904226728562,
13, 9.701194461907338, 0.3368470299273381, 0.00023392154856065146, 9.8, 8.332730560578662, 32.0,
14, 1.4785696394630992, 27.03670197875381, 0.030174890601287738, 9.8, 25.153290474689182, 24.384385250880815,
15, 9.701194461907338, 0.3368470299273381, 0.00023392154856065146, 9.8, 8.332730560578662, 32.0,
16, 1.4785696394630992, 27.03670197875381, 0.030174890601287738, 9.8, 25.153290474689182, 24.384385250880815,
17, 9.701194461907338, 0.3368470299273381, 0.00023392154856065146, 9.8, 8.332730560578662, 32.0,
18, 1.4785696394630992, 27.03670197875381, 0.030174890601287738, 9.8, 25.153290474689182, 24.384385250880815,
19, 9.701194461907338, 0.3368470299273381, 0.00023392154856065146, 9.8, 8.332730560578662, 32.0,
20, 1.4785696394630992, 27.03670197875381, 0.030174890601287738, 9.8, 25.153290474689182, 24.384385250880815,
21, 9.701194461907338, 0.3368470299273381, 0.00023392154856065146, 9.8, 8.332730560578662, 32.0,
22, 1.4785696394630992, 27.03670197875381, 0.030174890601287738, 9.8, 25.153290474689182, 24.384385250880815,
23, 8.252933221243467, 0.33685441719361087, 0.0006213677400489784, 9.8, 8.332730560578662, 31.92760180995475,
24, 0.7012718378756114, 29.310300489168412, 0.48659678546470997, 8.166666666666666, 26.58661257606491, 23.088893362475556,
25, 3.031689754742498, 0.33685441719361087, 0.0003289593917906356, 9.8, 9.262311557788944, 32.0,
26, 0.7012620368688068, 29.30989084708809, 0.24329499238305544, 9.8, 27.86801855075545, 23.031484881519308,
