LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 485839, 0, 91.52723433071449, 91.875, 91.4141517967272,
1, 426527, 0, 98.44722608416349, 100.0, 97.95095733960326,
2, 426527, 0, 98.44722608416349, 100.0, 97.95095733960326,
3, 426527, 0, 98.44722608416349, 100.0, 97.95095733960326,
4, 426527, 0, 98.44722608416349, 100.0, 97.95095733960326,
5, 239039, 0, 94.45822648187116, 100.0, 92.78106508875779,
6, 415871, 0, 93.62903400333276, 100.0, 91.72320217096406,
7, 28383, 0, 94.81732022689638, 100.0, 93.23725055432377,
8, 415871, 0, 93.62903400333276, 100.0, 91.72320217096406,
9, 415871, 0, 93.62903400333276, 100.0, 91.72320217096406,
10, 278783, 0, 80.99202605610816, 100.0, 76.26459143968967,
11, 437759, 0, 75.78964681479992, 100.0, 70.24390243902702,
12, 34687, 0, 83.02822383025341, 100.0, 78.67132867132842,
13, 437759, 0, 75.78964681479992, 100.0, 70.24390243902702,
14, 437759, 0, 75.78964681479992, 100.0, 70.24390243902702,
15, 437759, 0, 51.579065193405505, 100.0, 44.54545454545815,
16, 654335, 0, 35.211321417928126, 100.0, 29.069767441858836,
17, 56319, 0, 58.18285125801239, 100.0, 51.20000000000003,
18, 654335, 0, 35.211321417928126, 100.0, 29.069767441858836,
19, 654335, 0, 35.211321417928126, 100.0, 29.069767441858836,
20, 94751, 0, 2.110795664425705, 99.20634920634922, 1.6001024065539906,
