LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 474473, 0, 43.27959652077146, 89.26397969119489, 37.09671883270155,
1, 2279339, 0, 2.8429294633224806, 99.50248756218762, 2.163097555698421,
2, 307523, 0, 58.01307725131309, 88.83223567735938, 52.15837691147893,
3, 1186569, 0, 2.832630138753929, 99.1419713029064, 2.1552602457153736,
4, 254663, 0, 70.05476082334519, 88.66270851003658, 65.60015427332097,
5, 2111969, 0, 2.8451596064567655, 99.58053907541901, 2.164794327725179,
6, 466883, 0, 76.42323903657042, 96.72295473822182, 71.5638046618095,
7, 570044, 0, 2.841885889510283, 99.46583164487005, 2.162300687932544,
8, 210539, 0, 84.73658350973243, 95.99020508111418, 81.63950996931936,
9, 897119, 0, 2.853579068105792, 99.87515605493128, 2.1711990446733824,
10, 421079, 0, 84.73638227294904, 95.99020508111403, 81.63950996932107,
11, 280349, 0, 2.679200250798509, 93.77167429601683, 2.0385146586090506,
12, 204203, 0, 87.36578578941325, 93.16696375519894, 85.6400097713854,
13, 336104, 0, 2.64468405281963, 92.5636664468347, 2.0122536184092,
14, 399125, 0, 89.39733444688032, 95.33363733090155, 87.63163790560378,
15, 336104, 0, 2.64468405281963, 92.5636664468347, 2.0122536184092,
16, 399125, 0, 89.39733444688032, 95.33363733090155, 87.63163790560378,
17, 336104, 0, 2.64468405281963, 92.5636664468347, 2.0122536184092,
18, 399125, 0, 89.39733444688032, 95.33363733090155, 87.63163790560378,
19, 336104, 0, 2.64468405281963, 92.5636664468347, 2.0122536184092,
20, 399125, 0, 89.39733444688032, 95.33363733090155, 87.63163790560378,
21, 336104, 0, 2.64468405281963, 92.5636664468347, 2.0122536184092,
22, 399125, 0, 89.39733444688032, 95.33363733090155, 87.63163790560378,
23, 112034, 0, 2.8562757734259243, 99.9687597625742, 2.1732339078819574,
24, 227469, 0, 78.42983244114826, 81.03359173126633, 77.62244895492626,
25, 74689, 0, 0.9520961736147373, 33.322919920858574, 0.7244113026273195,
26, 454939, 0, 78.42966004477768, 81.03359173126577, 77.62244895492685,
