LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 121785.0, 3557400, 1.0, 109778.0, 9408, 63.0, 121939.0, 3872000, -5493.0, 112817.0, 1325362, -995.0, -1.0, 9408, 32266.0, 146939.0, 3872031,
1, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -3757.0, -1.0, 36864, 33018.0, 117335.0, 3359263,
2, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -3757.0, -1.0, 36864, 33018.0, 117335.0, 3359263,
3, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -3757.0, -1.0, 36864, 33018.0, 117335.0, 3359263,
4, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -3757.0, -1.0, 36864, 33018.0, 117335.0, 3359263,
5, 33.0, 63156.0, 1806336, 1.0, 62370.0, 73728, 63.0, 63215.0, 1806336, -5493.0, 61152.0, 1711646, -5525.0, 46565.0, 73728, 35838.0, 87663.0, 1806367,
6, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -5493.0, 110177.0, 3115008, -5525.0, 82420.0, 147456, 36496.0, 112223.0, 3115039,
7, 33.0, 7419.0, 215296, 1.0, 6577.0, 8192, 63.0, 7479.0, 215296, -5083.0, -1.0, 50176, -884.0, -1.0, 8192, 7479.0, 14206.0, 215296,
8, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -5493.0, 110177.0, 3115008, -5525.0, 82420.0, 147456, 36496.0, 112223.0, 3115039,
9, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -5493.0, 110177.0, 3115008, -5525.0, 82420.0, 147456, 36496.0, 112223.0, 3115039,
10, 33.0, 83474.0, 1806336, 1.0, 83262.0, 294912, 63.0, 83519.0, 1806336, -5493.0, 80259.0, 930190, -5525.0, 78035.0, 294912, 47400.0, 107967.0, 1806367,
11, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -5083.0, -1.0, 50176, -5525.0, 128300.0, 589824, 52946.0, 156031.0, 2654239,
12, 33.0, 10161.0, 230400, 1.0, 9921.0, 32768, 63.0, 10207.0, 230400, -2542.0, -1.0, 25088, -3315.0, -1.0, 32768, 10207.0, 17406.0, 230400,
13, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -5083.0, -1.0, 50176, -5525.0, 128300.0, 589824, 52946.0, 156031.0, 2654239,
14, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -5083.0, -1.0, 50176, -5525.0, 128300.0, 589824, 52946.0, 156031.0, 2654239,
15, 33.0, 164697.0, 1806336, 1.0, 164625.0, 1179648, 63.0, 164735.0, 1806336, -5083.0, -1.0, 50176, -5525.0, 162021.0, 1179648, 93455.0, 189183.0, 1806367,
16, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2542.0, -1.0, 25088, -5525.0, 269658.0, 2359296, 152383.0, 299775.0, 1843231,
17, 33.0, 20184.0, 262144, 1.0, 20098.0, 131072, 63.0, 20223.0, 262144, -1326.0, -1.0, 12544, -5525.0, 16936.0, 131072, 20223.0, 28414.0, 262144,
18, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2542.0, -1.0, 25088, -5525.0, 269658.0, 2359296, 152383.0, 299775.0, 1843231,
19, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2542.0, -1.0, 25088, -5525.0, 269658.0, 2359296, 152383.0, 299775.0, 1843231,
20, 33.0, 48609.0, 16384, 1.0, 48577.0, 512000, 63.0, 48615.0, 16000, -111.0, -1.0, 512, -5525.0, 46095.0, 512000, 48639.0, 49138.0, 16000,
