LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW,
0, 29.173603195040144, 0.07715333076374253, 31.753581708887232, 11.20235650108612, 9.455276381909547, 33.76555278441495,
1, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 29.879494067208654, 9.812084109661964, 39.840401812187196,
2, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 29.879494067208654, 9.812084109661964, 39.840401812187196,
3, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 29.879494067208654, 9.812084109661964, 39.840401812187196,
4, 31.000950544024953, 0.34020247510589796, 31.000950544024953, 29.879494067208654, 9.812084109661964, 39.840401812187196,
5, 28.574483904136677, 1.1663054654749663, 28.574483904136677, 25.682651622002822, 1.4153692576452745, 34.85445529271022,
6, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 26.929895998132636, 1.6766652263889206, 41.134573737587154,
7, 28.786736194678433, 1.0953336007487633, 28.786736194678433, 9.87133582530002, 9.266968325791856, 32.0,
8, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 26.929895998132636, 1.6766652263889206, 41.134573737587154,
9, 28.09375986435664, 1.3298821237565275, 28.09375986435664, 26.929895998132636, 1.6766652263889206, 41.134573737587154,
10, 21.627845160981334, 3.531076760976544, 21.627845160981334, 10.847317295021748, 3.529301947080576, 29.82378483687756,
11, 19.361485771809143, 4.302552393735366, 19.361485771809143, 9.87133582530002, 4.407394676669705, 25.7478125060629,
12, 22.572744195160183, 3.2103458410894485, 22.572744195160183, 9.869394177812746, 9.88476621417798, 32.0,
13, 19.361485771809143, 4.302552393735366, 19.361485771809143, 9.87133582530002, 4.407394676669705, 25.7478125060629,
14, 19.361485771809143, 4.302552393735366, 19.361485771809143, 9.87133582530002, 4.407394676669705, 25.7478125060629,
15, 10.965101526694388, 7.1608826296779675, 10.965101526694388, 9.87133582530002, 7.040699027735501, 18.869590197327874,
16, 6.722713595331449, 8.605073402024255, 6.722713595331449, 9.869394177812746, 8.57352171637886, 12.505553180951605,
17, 12.962666271077486, 6.481333135538743, 12.962666271077486, 9.460030165912519, 5.835277357314576, 32.0,
18, 6.722713595331449, 8.605073402024255, 6.722713595331449, 9.869394177812746, 8.57352171637886, 12.505553180951605,
19, 6.722713595331449, 8.605073402024255, 6.722713595331449, 9.869394177812746, 8.57352171637886, 12.505553180951605,
20, 0.33684903061329385, 10.526532206665433, 0.3289541314582948, 4.612612612612613, 9.918444044090583, 32.0,
