LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 298827.0, 2772225, 1.0, 298842.0, 2464800, 74.0, 298852.0, 468216, -5525.0, 283004.0, 466996, -332.0, -1.0, 2400, 37322.0, 299456.0, 394283,
1, 1.0, 798973.0, 9331200, 1.0, 798962.0, 777600, 799.0, 798972.0, 34992, -5525.0, 761846.0, 529506, -111.0, -1.0, 800, 798983.0, 799954.0, 11664,
2, 1.0, 338885.0, 2408448, 1.0, 338885.0, 2142208, 31.0, 338895.0, 953440, -5525.0, 334272.0, 2408448, -221.0, -1.0, 2048, 20767.0, 341293.0, 802827,
3, 1.0, 409960.0, 4840000, 1.0, 410344.0, 404800, 1599.0, 410354.0, 9097, -5525.0, 392248.0, 1261580, -221.0, -1.0, 1600, 410365.0, 410617.0, 3025,
4, 1.0, 247833.0, 2207744, 1.0, 247837.0, 2146304, 63.0, 247847.0, 470576, -5525.0, 241859.0, 2207744, -884.0, -1.0, 8192, 33100.0, 249046.0, 401419,
5, 1.0, 728153.0, 8652800, 1.0, 728150.0, 723200, 3199.0, 728160.0, 8128, -5525.0, 721671.0, 786608, -332.0, -1.0, 3200, 728171.0, 728396.0, 2704,
6, 1.0, 432281.0, 4415488, 1.0, 432285.0, 4292608, 127.0, 432295.0, 470576, -5525.0, 427244.0, 4415488, -1658.0, -1.0, 16384, 57740.0, 433494.0, 401419,
7, 1.0, 195887.0, 2332800, 1.0, 196520.0, 195200, 3199.0, 196530.0, 2193, -5525.0, 195257.0, 555043, -332.0, -1.0, 3200, 196541.0, 196601.0, 729,
8, 1.0, 217781.0, 2207744, 1.0, 217781.0, 2162688, 127.0, 217791.0, 235552, -5525.0, 212512.0, 2207744, -3315.0, -1.0, 32768, 58186.0, 220701.0, 200715,
9, 1.0, 308245.0, 3686400, 1.0, 308234.0, 307200, 6399.0, 308244.0, 1728, -5525.0, 307084.0, 335466, -663.0, -1.0, 6400, 308255.0, 308302.0, 576,
