LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 17.0, 50330.0, 677376, 1.0, 37786.0, 864, 31.0, 50359.0, 802816, -5509.0, 49889.0, 500141, -111.0, -1.0, 864, 3494.0, 52151.0, 802831,
1, 17.0, 218613.0, 3484800, 1.0, 206498.0, 288, 31.0, 218612.0, 217800, -5509.0, 218353.0, 3484800, -111.0, -1.0, 288, 55511.0, 221872.0, 217815,
2, 17.0, 100705.0, 1605632, 1.0, 88146.0, 2048, 31.0, 100719.0, 1605632, -5509.0, 100487.0, 1605632, -221.0, -1.0, 2048, 3494.0, 100847.0, 1605647,
3, 17.0, 114480.0, 1806336, 1.0, 111386.0, 576, 31.0, 114536.0, 112896, -5509.0, 113398.0, 1784896, -111.0, -1.0, 576, 56109.0, 114695.0, 112911,
4, 17.0, 101809.0, 1605632, 1.0, 98658.0, 8192, 31.0, 101823.0, 1605632, -5509.0, 101591.0, 1605632, -884.0, -1.0, 8192, 3540.0, 101951.0, 1605647,
5, 17.0, 213249.0, 3359232, 1.0, 210318.0, 1152, 31.0, 213248.0, 209952, -5509.0, 210477.0, 3359232, -221.0, -1.0, 1152, 56155.0, 216017.0, 209967,
6, 17.0, 203633.0, 3211264, 1.0, 200482.0, 16384, 31.0, 203647.0, 3211264, -5509.0, 203203.0, 3211264, -1658.0, -1.0, 16384, 3540.0, 203903.0, 3211279,
7, 17.0, 59716.0, 903168, 1.0, 58946.0, 1152, 31.0, 59744.0, 56448, -5509.0, 55976.0, 881792, -221.0, -1.0, 1152, 58547.0, 59831.0, 56463,
8, 17.0, 106225.0, 1605632, 1.0, 105426.0, 32768, 31.0, 106239.0, 1605632, -5509.0, 106007.0, 1605632, -3315.0, -1.0, 32768, 3678.0, 106367.0, 1605647,
9, 17.0, 103953.0, 1557504, 1.0, 103262.0, 2304, 31.0, 103952.0, 97344, -5509.0, 103289.0, 1557504, -332.0, -1.0, 2304, 59053.0, 106595.0, 97359,
10, 17.0, 212465.0, 3211264, 1.0, 211666.0, 65536, 31.0, 212479.0, 3211264, -5509.0, 212035.0, 3211264, -5525.0, 178464.0, 65536, 3678.0, 212735.0, 3211279,
11, 17.0, 34818.0, 451584, 1.0, 34622.0, 2304, 31.0, 34832.0, 28224, -5509.0, 30920.0, 430336, -332.0, -1.0, 2304, 34847.0, 36610.0, 28224,
